,p,q,p_l
ADANIPORTS.NS,5,4,16.227833932694153
ASIANPAINT.NS,9,3,22.463964408783326
AXISBANK.NS,9,4,37.57163036995657
BAJAJ-AUTO.NS,8,2,5.249128557699986
BAJAJFINSV.NS,9,2,23.515324693486537
BAJFINANCE.NS,5,2,25.730215030866994
BHARTIARTL.NS,9,4,8.222410137249192
BPCL.NS,5,4,18.537367524535306
BRITANNIA.NS,5,4,-9.115592253703811
CIPLA.NS,5,4,3.8630994704956234
COALINDIA.NS,6,2,20.142656370585556
DIVISLAB.NS,9,2,7.280334102196907
DRREDDY.NS,6,2,18.499677163570453
EICHERMOT.NS,7,2,-1.1391160222937997
GAIL.NS,7,4,0.5265236179003647
GRASIM.NS,5,3,7.267563398248419
HCLTECH.NS,7,3,15.800078722544082
HDFC.NS,7,4,23.63173887252313
HDFCBANK.NS,8,4,14.396401025954823
HDFCLIFE.NS,5,3,2.5865800596387865
HEROMOTOCO.NS,9,2,9.124130346467734
HINDALCO.NS,9,3,42.036395542859424
HINDUNILVR.NS,8,4,14.95981206174097
ICICIBANK.NS,9,3,19.777594293944915
INDUSINDBK.NS,7,3,36.040103894040854
INFY.NS,5,4,0.4486219777554714
IOC.NS,6,3,20.830208778738935
ITC.NS,9,3,17.36805295223889
JSWSTEEL.NS,7,4,-0.46221751902721264
KOTAKBANK.NS,5,4,9.212630589951441
LT.NS,9,3,16.01699263101858
M&M.NS,8,3,23.633745605028885
MARUTI.NS,9,3,21.281724930361158
NESTLEIND.NS,5,3,4.097987330921094
NTPC.NS,5,4,-4.610430318404445
ONGC.NS,7,3,31.42552498434143
POWERGRID.NS,6,2,20.33629199499141
RELIANCE.NS,5,4,23.002935854087294
SBILIFE.NS,5,4,-1.153402898009039
SBIN.NS,7,2,20.779593434171023
SUNPHARMA.NS,8,3,6.4857395397123305
TATAMOTORS.NS,7,4,37.00713592188252
TATASTEEL.NS,9,2,14.828655744442875
TCS.NS,7,2,11.005588406010231
TECHM.NS,8,2,12.61684837121825
TITAN.NS,5,4,2.307102225509582
ULTRACEMCO.NS,9,3,10.755319945551356
UPL.NS,6,2,15.265769507895499
WIPRO.NS,5,4,25.876282671330603
